Project Name,Project Link,Parent Category,Category Name,Location,Currency,Goal Amount,Pledged Amount,Percent Funded,Duration,Days Left,Description Length,Risk Desc Count,Is Project We Love,Image Count,Video Count,Success
- DWARF COMPETITION -,https://www.kickstarter.com/projects/norsemyths/dwarf-competition?ref=discovery,Comics,Graphic Novels,UK,GBP,3000.0,8697.0,289,30,28,40,377,0,35,0,1
･ﾟ: *✧･ﾟ:* Storefront Ita Bag and Accessories･ﾟ: *✧･ﾟ:*,https://www.kickstarter.com/projects/naytendo/storefront-ita-bag-and-accessories?ref=discovery,Fashion,Apparel,USA,USD,1300.0,2246.0,172,30,22,113,360,0,44,2,1
'Here and There' An Expedition of Sorts by Jillian Edelstein,https://www.kickstarter.com/projects/gblimitededitions/here-and-there-an-expedition-of-sorts-by-jillian-edelstein?ref=discovery,Photography,Photobooks,UK,GBP,6000.0,6264.0,104,30,37,117,223,1,39,1,1
'Jimmy' Film Score Fundraiser,https://www.kickstarter.com/projects/yashyoucan/jimmy-film-score-fundraiser?ref=discovery,Film & Video,Narrative Film,USA,USD,12000.0,12735.0,106,30,14,119,148,1,10,4,1
'Journey' Tarot Deck for Empaths and Intuitives,https://www.kickstarter.com/projects/teagan/journey-tarot-deck-for-empaths-and-intuitives?ref=discovery,Art,Illustration,USA,USD,20000.0,4894.0,24,60,13,114,504,0,29,0,0
'SHARED NOT OWNED' THE ALBUM,https://www.kickstarter.com/projects/perplexedmusic/shared-not-owned?ref=discovery,none,Music,UK,GBP,23500.0,2501.0,10,43,10,85,227,0,13,2,0
"'Sing, Shimmy & Shake' a new album of family friendly tunes",https://www.kickstarter.com/projects/bbandthebeats/sing-shimmy-and-shake-a-new-album-of-family-friendly-tunes?ref=discovery,Music,Kids,UK,GBP,3000.0,551.0,18,30,12,134,1086,0,7,1,0
‘Benny’ The Budget Bear Extraordinaire,https://www.kickstarter.com/projects/taylorperri/benny-the-budget-bear-extraordinaire?ref=discovery,Publishing,Children's Books,USA,USD,2500.0,306.0,12,30,4,134,177,0,7,0,0
"""5,6,7,8… THE EDGE OF TANGO vol.2"" by SONICO",https://www.kickstarter.com/projects/sonicomania/5678-the-edge-of-tango-vol2-by-sonico?ref=discovery,Music,World Music,Belgium,EUR,4000.0,2271.0,56,45,37,115,236,1,10,1,0
"""Alebrijes!"" Immersive Art Car Experience",https://www.kickstarter.com/projects/alebrijes-art-car/alebrijes-immersive-art-car-experience?ref=discovery,Art,Public Art,DC,USD,35000.0,1301.0,3,45,40,73,626,0,18,0,0
"""As I Age"": A Collection of Poetry",https://www.kickstarter.com/projects/lsbcomics/as-i-age-a-collection-of-poetry?ref=discovery,Publishing,Poetry,USA,USD,1000.0,163.0,16,31,19,124,219,0,19,1,0
"""Basket of fruit"" of Caravaggio",https://www.kickstarter.com/projects/camyri-brightart/basket-of-fruit-of-caravaggio?ref=discovery,Art,Painting,Italy,EUR,350.0,17.0,4,45,13,110,1143,0,14,1,0
"""Goodnight Sword"" - A Medieval Fantasy Bedtime Story",https://www.kickstarter.com/projects/ravenkeep/goodnight-sword-book-with-rabbit-knight-and-page-plush-toys?ref=discovery,Publishing,Children's Books,USA,USD,250.0,1590.0,636,16,49,86,619,0,17,1,1
"""Guardians of the Baztan Valley"" - Retinue Set",https://www.kickstarter.com/projects/holycompany/the-valleys-guardian-retinue-kingdom-of-navarre?ref=discovery,Games,Tabletop Games,Spain,EUR,2000.0,2535.0,126,15,8,60,582,0,37,0,1
"""If Fish Can Talk""- An Animated Satire on Human Procrastion",https://www.kickstarter.com/projects/404621467/if-fish-can-talk-an-animated-satire-on-human-procrastion?ref=discovery,Comics,Comic Books,USA,USD,20000.0,71.0,0,60,33,114,625,0,26,1,0
"""Jusqu'au dernier pétale""",https://www.kickstarter.com/projects/jusquaudernierpetale/jusquau-dernier-petale?ref=discovery,Film & Video,Shorts,France,EUR,3900.0,1.0,0,60,45,117,282,0,7,0,0
"""Land of Danger"" issue #1",https://www.kickstarter.com/projects/lonecubproductions/land-of-danger-issue-1?ref=discovery,Comics,Comic Books,USA,USD,6500.0,6618.0,101,39,12,122,1078,1,11,0,1
"""Mia San Mia"" a Documentary film",https://www.kickstarter.com/projects/1180724391/mia-san-mia-a-documentary-film?ref=discovery,Film & Video,Documentary,Bosnia and Herzegovina,EUR,12300.0,61.0,0,60,30,132,238,0,10,1,0
"""My Healing Journey"" Book, AudioBook, and App",https://www.kickstarter.com/projects/208929444/my-healing-journey-book-audiobook-and-app?ref=discovery,none,Publishing,USA,USD,10000.0,11.0,0,28,7,71,92,0,7,1,0
